Original,gpt4
"Queridos míos, el siguiente tema, de verdad que me parece fascinante, así que te invito a que te quedes. Es muy relevante las relaciones humanas. Estoy hablando de la delgada línea que existe entre una persona intensa y una persona tóxica. A primera vista parece que no hay diferencias.","My dears, the next topic, really, I find it fascinating, so I invite you to stay. It's very relevant to human relationships. I'm talking about the thin line that exists between an intense person and a toxic person. At first glance, it seems there are no differences."
"Es muy difícil distinguirles, de hecho, porque ambas personas pueden mostrar comportamientos que son extraordinariamente similares. Sin embargo, en este vídeo pues quiero hablar de algunas diferencias que son fundamentales. Que son muy importantes, sobre todo comprender porque esto nos va a llevar, pues a establecer límites que sean saludables en las interacciones de nuestro día a día vamos a visitar, pues este espejismo.","It's very hard to distinguish between them, in fact, because both can exhibit behaviors that are extraordinarily similar. However, in this video, I want to talk about some fundamental differences. They are very important, especially to understand because this will lead us to establish healthy boundaries in our day-to-day interactions, let's explore this mirage."
"Estas 2 caras de una misma moneda o 2 notas de una misma partitura en las relaciones humanas cuando suenan estas 2 notas crean una melodía, pero hay sutiles y cruciales diferencias que son de enorme ayuda en tu vida, así que vamos a hablar primero de los intensos, bien.","These are two sides of the same coin or two notes from the same score in human relationships. When these two notes play, they create a melody, but there are subtle and crucial differences that are enormously helpful in your life, so let's first talk about the intense ones, well."
"Pues los intensos los vas a ubicar porque se dejan ir de hocico, lo hacen sin reservas, se meten en las relaciones de forma muy profunda, se se se se sumergen a lo más hondo de una relación similar atrás es intenso a los 2 días, a los 3 días, las palabras del intenso están cargadas de fuego, tienen una energía muy vibrante, pero no es incómoda.","Well, you can spot the intense ones because they let themselves go headlong, they do it without reservations, they dive deep into relationships, they submerge themselves to the deepest parts of a relationship right away, being intense from day two, day three. The words of the intense are charged with fire, they have a very vibrant energy, but it's not uncomfortable."
"OA lo mejor puede ser incómoda, pero pero te contagia de algo positivo este estos entes pueden tener una risa estruendosa. ¿Este, pero tienen las lágrimas sinceras, estas personas no les da miedo mostrar su vulnerabilidad hecho?","Or maybe it can be uncomfortable, but it infects you with something positive, these beings may have a booming laugh. But they have sincere tears, these people are not afraid to show their vulnerability, in fact?"
"De hecho, creo que la llevan como si fueran estandartes, no de de de su autenticidad, y este es un punto importante porque la diferencia cuando te encuentras con una figura que es tóxica, pues estas personas tienen un impacto negativo de forma, pues.","In fact, I think they carry it as if it were a banner, not of their authenticity, and this is an important point because the difference when you meet a toxic figure is that these people have a negative impact in a very profound way."
"Muy profunda porque porque tienen un efecto muy lento, tienen un veneno de efecto lento. Aunque el tóxico puede vivir bajo el disfraz de la intensidad, en su rostro hay una trama siniestra porque en las manos estas personas llevan el egoísmo, llevan la manipulación y es difícil descubrirlas porque son seductoras, porque cuando menos te das cuenta sobre de TI, hay un velo de control.","Because they have a slow-acting poison. Although the toxic person may live under the disguise of intensity, on their face there is a sinister plot because in their hands these people carry selfishness, they carry manipulation, and it is hard to discover them because they are seductive, because before you realize it, there is a veil of control over you."
"Estas personas pueden utilizar los regalos para atarte a ellos pueden utilizar la culpa como un grillete, utilizan cualquier tipo de chantaje emocional, como una de las armas más letales ahora. ¿Cómo los diferencia? Creo que la clave está, pues, en la consideración.","These people might use gifts to tie you to them, they can use guilt as a shackle, they use any form of emotional blackmail as one of the most lethal weapons. How do you tell them apart? I believe the key is, well, in consideration."
"Déjame me explico la capacidad de respetar los límites personales del otro, porque la intensidad, queridos, tú puedes respetar la intensidad porque la porque la intensidad siempre está honrando la autonomía de la otra persona.","Let me explain the ability to respect another person's personal boundaries, because with intensity, my dears, you can respect intensity because intensity always honors the autonomy of the other person."
"En, en cambio, la toxicidad va e invade, se apropia del espacio del otro, o sea, el intenso puede ser alguien que es muy enérgico en su forma de expresarse, de hablar, de caminar, pero siempre va a honrar el derecho de establecer una frontera.","Meanwhile, toxicity invades and appropriates the other's space. An intense person can be someone who is very energetic in their way of expressing themselves, speaking, walking, but will always honor the right to establish a boundary."
"Por el otro lado, la persona tóxica no acepta un no porque se siente con el derecho a colonizar tu vida. Esta persona digamos que quiere expropiar un territorio que claramente no es suyo y poco a poco se van apoderando de tu diario vivir.","On the other hand, a toxic person does not accept a 'no' because they feel entitled to colonize your life. This person, let's say, wants to expropriate a territory that clearly isn't theirs and gradually takes over your daily life."
"Me explico, o sea, se van metiendo con la familia, con los amigos, con la pareja, con el trabajo, con tus hábitos, con tus sueños, con tus deseos, con tus gustos, con la educación van llegando a donde no los invitas. Te marcan sin que sin preguntar se meten donde no tienen injerencia.","I mean, they start meddling with your family, friends, partner, work, your habits, your dreams, your desires, your tastes, your education—they reach places you don't invite them. They impose themselves without asking and interfere where they have no business."
"Estas personas son como la humedad, fíjense, son como la humedad, porque cuando menos te das cuenta volteas a ver y ya están en las entrañas en todos los ámbitos fundamentales de tu vida, porque el tóxico es un parásito y es un parásito que se alimenta del bienestar emocional del otro, se alimenta del huésped y tiene unas maniobras que son macabras, son insidiosas y las puedes ubicar.","These people are like humidity, notice, they are like humidity because before you know it, you turn around and they are deeply ingrained in all the fundamental areas of your life, because the toxic person is a parasite and a parasite that feeds on the emotional well-being of another, feeds on the host and has maneuvers that are macabre, insidious, and identifiable."
"Porque esas maniobras inmediatamente desgastan tu confianza si hay algo que te inyecta ansiedad, te van llevando a un auto sabotaje, digamos, digamos que como tienen un comportamiento manipulador, un comportamiento de cohesión de alguna u otra forma, van socavando también tu paz porque no aceptan un no de tu parte.","Because these maneuvers immediately erode your confidence if there is something that injects you with anxiety, they lead you to self-sabotage, let's say, let's say that as they have manipulative behavior, a behavior of coercion in one way or another, they also undermine your peace because they do not accept a 'no' from you."
"Entonces te van acorralando, no te van haciendo sentirte culpable porque no lo no lo incluiste en la fiesta, no lo invitaste a desayunar, cabrón. Este no le respondiste la llamada cuando ellos te marcaron un día te quieren, otro día te tratan como si fueras un extraño, entonces te van minando, van minando tu confianza, tu autoestima y luego te van a pedir que los aceptes como son.","Then they corner you, they make you feel guilty because you didn't include them in the party, you didn't invite them to breakfast, damn it. You didn't answer the call when they called you; one day they love you, another day they treat you as if you were a stranger, then they erode your confidence, your self-esteem and then they will ask you to accept them as they are."
"Pero ellos no se aceptan como son. Esto es uno de los puntos o de las banderas más importantes a ubicar. OK, querido. Es esencial, sobre todo recordar que tú y yo, a pesar de que somos, pues un gigantesco mosaico de emociones y de comportamientos YYYY demás.","But they do not accept themselves as they are. This is one of the points or flags most important to identify. OK, dear. It is essential, especially to remember that you and I, although we are a gigantic mosaic of emotions and behaviors and more."
"Sí, hay que aceptar que a lo mejor todos podemos tener algún momento o tintes que no son buenos, que pueden caer en la toxicidad, pero creo que es en el patrón, es en la persistencia, es es en donde tú puedes ubicar la tendencia de una acción y ahí eso en donde la verdad se revela, ahí está la verdad, el carácter.","Yes, we must accept that perhaps all of us can have some moments or tinges that are not good, that can fall into toxicity, but I believe it is in the pattern, it is in the persistence, it is where you can locate the tendency of an action and there that is where the truth is revealed, there is the truth, the character."
"Miren, queridos el el cuidado de nuestras relaciones es nuestra responsabilidad y entiendo que requiere de muchísima atención. Por eso hago este tipo de contenido. Se necesita de mucha sabiduría para establecer límites muy claros y sobre todo, necesitamos encontrar la valentía para protegernos y para proteger estos límites.","Look, my dears, caring for our relationships is our responsibility and I understand that it requires a lot of attention. That's why I make this type of content. A lot of wisdom is needed to establish very clear boundaries and above all, we need to find the courage to protect ourselves and to protect these boundaries."
"Miren, la intensidad puede ser seductora, pero siempre hay que abrir muy bien los ojos para que no se convierta en el veneno de la toxicidad y termine dispersándose. Pues bajo ese disfraz. Cada bandera roja es un llamado a la atención.","Look, intensity can be seductive, but you always have to keep your eyes wide open so that it does not turn into the poison of toxicity and end up dispersing under that disguise. Every red flag is a call to attention."
"Es un llamado a la acción. Cada bandera que aparezca en una relación es un faro que te está diciendo, Oye, presta atención, restablece el límite si te está robando La Paz, si una persona pues constantemente está cruzando tus límites, está ejerciendo un impacto negativo en tu vida.","It's a call to action. Every flag that appears in a relationship is a beacon telling you, Hey, pay attention, reestablish the boundary if it is robbing you of peace, if a person is constantly crossing your boundaries, exerting a negative impact on your life."
"Es muy importante que en este preciso momento empieces a evaluar esa relación que empieces a considerar qué tan necesario es restablecer restablecer perdón, nuevas distancias o incluso hasta romper con esa relación o pausarla, porque el asunto final es que si te está robando La Paz, si te genera ansiedad.","It is very important that at this precise moment you start to evaluate that relationship, that you start to consider how necessary it is to reestablish, sorry, new distances or even to break up with that relationship or pause it, because the final matter is that if it is robbing you of peace, if it generates anxiety."
"Si te está comprimiendo, si te obliga también con esas acciones a modificar tu esencia o la pureza de tus deseos, es urgente que pongas un alto, pues a esta relación, porque cada uno de nosotros tiene el poder, pero sobre todo el deber, el deber de proteger su propio bienestar emocional y su propio bienestar anímico.","If it is compressing you, if it also forces you with those actions to modify your essence or the purity of your desires, it is urgent that you put a stop to this relationship, because each one of us has the power, but above all the duty, the duty to protect our own emotional well-being and our own mental well-being."
"Hay que estar muy alerta, hay que aprender a reconocer estas señales en un tío, en un primo, en el abuelo, en la madre, en el amigo, en el socio, en el colega, en la pareja, cambia el sendero o bájalos de tu barco. No dejes. Que sigan minando tu vida, no mañana.","We must be very alert, we must learn to recognize these signals in an uncle, in a cousin, in the grandfather, in the mother, in the friend, in the partner, in the colleague, in the significant other, change the path or lower them from your boat. Do not let them continue undermining your life, not tomorrow."
"Ahora porque es más tarde de lo que crees capichi con eso, queridos, recuerden, vamos a ascender desde cualquier tipo de derrumbe.","Now, because it is later than you think, capiche with that, my dears, remember, let's rise from any kind of collapse."
